gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000032867,991.0589457094429,0.378131457817963,0.0798360410177798,4.736350312432847,2.176013261865085e-6,9.75617340270995e-6
ENSMUSG00000029360,9.978306237678238,1.7402789960650975,0.6642342444979265,2.6199778323391305,0.008793548289400169,0.0214670254362867
ENSMUSG00000088293,0.5018371089626881,-0.9984912966606144,2.59845870129353,-0.38426290791674267,0.7007835967247098,NA
ENSMUSG00000032850,11.575611631263367,1.4141849326594373,0.5871283035110263,2.4086471801863643,0.016011768720099923,0.03674615675262151
ENSMUSG00000032840,522.5195898040406,-0.07638471861746983,0.09113418098165935,-0.838156636672273,0.4019427375363761,0.5465180495174538
ENSMUSG00000018076,3637.1552184572583,0.3084960774031295,0.047153836442423186,6.5423325158243735,6.056664899719315e-11,4.251750324556481e-10
ENSMUSG00000029594,565.6744028919524,0.16422422881391077,0.09384385690153145,1.7499731387450121,0.08012294887069665,0.14914888179135907
ENSMUSG00000029595,0.6404703532009662,2.7358517768197586,2.3038475361431923,1.1875142490547672,0.23502483950261757,NA
ENSMUSG00000086165,2.846884909438365,0.0026749493876978784,1.111993246637157,0.0024055446341849176,0.9980806549271566,0.9987486024961223
ENSMUSG00000029598,833.9511634110441,0.07414008022398604,0.08301063971630769,0.8931394876290899,0.37178247881476606,0.5156445093432285
ENSMUSG00000032754,759.0776716727975,-1.1491930318909582,0.07968198420721002,-14.4222441662914,3.7494968815128374e-47,1.0414430734517778e-45
ENSMUSG00000032741,1108.4173764298398,0.07407418191708601,0.06881616579301653,1.0764066998426562,0.2817454072960743,0.41887131022565754
ENSMUSG00000029601,6.822252602791552,1.5308705185236957,0.7540693020948457,2.0301456567332123,0.04234173578715601,0.08588489319793584
ENSMUSG00000029600,92.1587876592294,0.1274347992285418,0.2184909969740272,0.5832496578506181,0.5597252466625104,0.6913437117688046
ENSMUSG00000029599,4544.549076526551,0.052957238470023246,0.05616032143369901,0.94296537338275,0.3456986145824613,0.48883838296580534
ENSMUSG00000089830,0.6480436021151219,1.3366693347790026,2.3600068063166986,0.5663836778781008,0.5711329879351442,NA
ENSMUSG00000029602,862.1813455765109,0.3902848635476156,0.08513438642103262,4.584338713824276,4.554254659935967e-6,1.9526162810807898e-5
ENSMUSG00000029603,7849.367377126789,0.6108275769406213,0.06271040636029467,9.740449988972948,2.0265495817422491e-22,2.687537261286118e-21
ENSMUSG00000032690,272.58371427135836,0.774207734822835,0.1202060692860557,6.440670919705762,1.1894652118629401e-10,8.087371844053328e-10
ENSMUSG00000032661,2792.3132742642415,-0.35656312357459446,0.058778282145202865,-6.0662392734404715,1.3094001396778438e-9,8.194826196804865e-9
ENSMUSG00000001166,494.3951719939563,-0.06292734879423048,0.10042378227637465,-0.6266179919518382,0.5309096716998516,0.6669329684292246
ENSMUSG00000029605,476.49736203732783,-0.14540802775281284,0.09204029934278744,-1.579830017841065,0.1141457992495228,0.201586424796672
ENSMUSG00000066861,13.921501526265908,-2.310165357075457,1.1440434568859397,-2.019298605460036,0.04345619275199727,0.08784750637101024
ENSMUSG00000052776,334.5467668780661,0.014546265596164386,0.11309567075369434,0.12861911954034036,0.8976590367658978,0.9391527500228559
ENSMUSG00000029608,6.238105392437713,6.020270188937941,1.3453613856252167,4.474834979852049,7.647035024308072e-6,3.188722970977452e-5
ENSMUSG00000043733,5096.875936719625,1.0888670329295391,0.04608048341548153,23.62967903595637,1.9098465555267496e-123,1.6318274640864984e-121
ENSMUSG00000029614,12403.367260720763,-0.015063349666403965,0.049526549195835046,-0.30414696583929823,0.761015927034995,0.846764574576669
ENSMUSG00000064841,20.07919228412912,0.4417264020898788,0.42596574493420986,1.0369998229742703,0.299735939659591,0.4390336298213911
ENSMUSG00000042744,4499.089128877537,0.0580229397411188,0.05259096213964694,1.1032872832226972,0.2699024273107456,0.4050229366259687
ENSMUSG00000042726,2655.774389819608,-0.29198675719875733,0.0530119034826689,-5.5079470461613615,3.630425698241154e-8,1.9775570219654226e-7
ENSMUSG00000042719,1002.9020670160359,0.25069475762120086,0.07232047968305373,3.466442129807169,5.273952522450605e-4,0.0016584390135003717
ENSMUSG00000029616,1881.9080006456584,-0.33420253327947,0.05823931869741785,-5.738434802368104,9.555553512246304e-9,5.5523088299946717e-8
ENSMUSG00000029452,3.665134869258519,1.4150029398748878,1.0546447104805154,1.3416868503803394,0.17969755241809302,0.2927999621356559
ENSMUSG00000072647,24.732193850269667,0.24682251047440307,0.38441924023718144,0.6420659650701066,0.5208303533407073,0.6586734585559847
ENSMUSG00000029454,1513.7089853310715,-0.13841015427087158,0.06051901504804921,-2.287052328280302,0.0221927689446701,0.04896161971894942
ENSMUSG00000082265,12.580684646139122,-0.8070140967127691,0.5408244239525608,-1.4921924028777915,0.13564871340274617,0.2323353249890678
ENSMUSG00000029455,211.00822101972125,-1.1861641956876292,0.15405313517705002,-7.699708248873972,1.3637724528127827e-14,1.2228970075372194e-13
ENSMUSG00000042647,18.630696268937562,0.12440891271896552,0.4296441572294443,0.28956267791750046,0.7721508229450158,0.8528069811708986
ENSMUSG00000029456,104.84529904794368,0.8138150923970651,0.185762086577083,4.380953656328402,1.1816100361227053e-5,4.804357325662747e-5
ENSMUSG00000029458,3289.287122576103,-0.07618388514892374,0.05030197845587526,-1.5145305907947937,0.12989132121531663,0.22420911628264673
ENSMUSG00000042605,1035.724610804393,0.26139746305223654,0.07323868033323194,3.5691176010120955,3.581856239754796e-4,0.0011555060501603795
ENSMUSG00000042594,1530.1568859044971,0.34442752290674594,0.06879301691212465,5.00672216987828,5.53647502510816e-7,2.664011031791786e-6
ENSMUSG00000044134,89.56675843423122,0.1960094479829958,0.20591396661982445,0.9518997239506576,0.3411478395664848,0.4839288232541258
ENSMUSG00000043036,16.636032034058534,1.060450190832002,0.46143352923106584,2.2981645755113185,0.02155242405506585,0.04768962200271877
ENSMUSG00000004455,2545.6219734108054,0.15139464935378386,0.057533654289636894,2.63141028017498,0.008503131527729347,0.020843126912848044
ENSMUSG00000064267,2605.937589506215,0.8279221833056069,0.05399640683686537,15.332912536327386,4.608508446027109e-53,1.4899183251723316e-51
ENSMUSG00000038593,135.29042166250136,0.18514201003096173,0.16947419064017183,1.0924495897080628,0.27463553639484883,0.41075147366281345
ENSMUSG00000038582,1703.6923652337273,0.6371835370951928,0.05859753229973672,10.873897109453118,1.5350091503187904e-27,2.4902955862721566e-26
ENSMUSG00000083909,15.722998061720896,0.7063707901576161,0.5039362057590683,1.4017067678112647,0.16100282882191616,0.26766179538141777
ENSMUSG00000038569,98.44383204150287,0.9664042104877986,0.1998751649296723,4.835038964584898,1.3311955750533694e-6,6.1560933513357236e-6
ENSMUSG00000029462,1278.8393361283674,-0.31412808898083494,0.06605258785618999,-4.75572720428087,1.9773333225283534e-6,8.925608001541193e-6
ENSMUSG00000029463,280.3399355301425,0.2713257016816068,0.11522191885589886,2.3548097825114125,0.01853218952650125,0.0418953101516961
